location,rectified,altitude_m,area_m2,camera,gcp,distance_m,resolution
jenkins11,no_gcp,80,57790,hover,jen11_01,0.946,0.04476
jenkins11,no_gcp,80,57790,hover,jen11_02,0.979,0.04476
jenkins11,no_gcp,80,57790,hover,jen11_03,0.903,0.04476
jenkins11,no_gcp,80,57790,hover,jen11_04,0.893,0.04476
jenkins11,no_gcp,80,57790,hover,jen11_05,0.938,0.04476
jenkins11,"jen11_01, jen11_02, jen11_03, jen11_04, jen11_05",80,57790,hover,jen11_01,,0.04476
jenkins11,"jen11_01, jen11_02, jen11_03, jen11_04, jen11_05",80,57790,hover,jen11_02,,0.04476
jenkins11,"jen11_01, jen11_02, jen11_03, jen11_04, jen11_05",80,57790,hover,jen11_03,,0.04476
jenkins11,"jen11_01, jen11_02, jen11_03, jen11_04, jen11_05",80,57790,hover,jen11_04,,0.04476
jenkins11,"jen11_01, jen11_02, jen11_03, jen11_04, jen11_05",80,57790,hover,jen11_05,,0.04476
jenkins11,jen11_01,80,57790,hover,jen11_01,,0.04476
jenkins11,jen11_01,80,57790,hover,jen11_02,0.972,0.04476
jenkins11,jen11_01,80,57790,hover,jen11_03,0.904,0.04476
jenkins11,jen11_01,80,57790,hover,jen11_04,0.889,0.04476
jenkins11,jen11_01,80,57790,hover,jen11_05,0.923,0.04476
jenkins11,jen11_02,80,57790,hover,jen11_01,0.945,0.04476
jenkins11,jen11_02,80,57790,hover,jen11_02,,0.04476
jenkins11,jen11_02,80,57790,hover,jen11_03,0.905,0.04476
jenkins11,jen11_02,80,57790,hover,jen11_04,0.891,0.04476
jenkins11,jen11_02,80,57790,hover,jen11_05,0.919,0.04476
jenkins11,jen11_03,80,57790,hover,jen11_01,0.946,0.04476
jenkins11,jen11_03,80,57790,hover,jen11_02,0.983,0.04476
jenkins11,jen11_03,80,57790,hover,jen11_03,,0.04476
jenkins11,jen11_03,80,57790,hover,jen11_04,0.893,0.04476
jenkins11,jen11_03,80,57790,hover,jen11_05,0.938,0.04476
jenkins11,jen11_04,80,57790,hover,jen11_01,0.948,0.04476
jenkins11,jen11_04,80,57790,hover,jen11_02,0.978,0.04476
jenkins11,jen11_04,80,57790,hover,jen11_03,0.897,0.04476
jenkins11,jen11_04,80,57790,hover,jen11_04,,0.04476
jenkins11,jen11_04,80,57790,hover,jen11_05,0.921,0.04476
jenkins11,jen11_05,80,57790,hover,jen11_01,0.945,0.04476
jenkins11,jen11_05,80,57790,hover,jen11_02,0.979,0.04476
jenkins11,jen11_05,80,57790,hover,jen11_03,0.908,0.04476
jenkins11,jen11_05,80,57790,hover,jen11_04,0.892,0.04476
jenkins11,jen11_05,80,57790,hover,jen11_05,,0.04476
jenkins11,"jen11_01, jen11_03",80,57790,hover,jen11_01,,0.04476
jenkins11,"jen11_01, jen11_03",80,57790,hover,jen11_02,0.981,0.04476
jenkins11,"jen11_01, jen11_03",80,57790,hover,jen11_03,,0.04476
jenkins11,"jen11_01, jen11_03",80,57790,hover,jen11_04,0.893,0.04476
jenkins11,"jen11_01, jen11_03",80,57790,hover,jen11_05,0.92,0.04476
jenkins11,"jen11_01, jen11_05",80,57790,hover,jen11_01,,0.04476
jenkins11,"jen11_01, jen11_05",80,57790,hover,jen11_02,0.973,0.04476
jenkins11,"jen11_01, jen11_05",80,57790,hover,jen11_03,0.903,0.04476
jenkins11,"jen11_01, jen11_05",80,57790,hover,jen11_04,0.885,0.04476
jenkins11,"jen11_01, jen11_05",80,57790,hover,jen11_05,,0.04476
jenkins11,"jen11_01, jen11_05",80,57790,hover,jen11_01,,0.04476
jenkins11,"jen11_01, jen11_05",80,57790,hover,jen11_02,,0.04476
jenkins11,"jen11_01, jen11_05",80,57790,hover,jen11_03,,0.04476
jenkins11,"jen11_01, jen11_05",80,57790,hover,jen11_04,,0.04476
jenkins11,"jen11_01, jen11_05",80,57790,hover,jen11_05,,0.04476
jenkins11,"jen11_02, jen11_03",80,57790,hover,jen11_01,0.942,0.04476
jenkins11,"jen11_02, jen11_03",80,57790,hover,jen11_02,,0.04476
jenkins11,"jen11_02, jen11_03",80,57790,hover,jen11_03,,0.04476
jenkins11,"jen11_02, jen11_03",80,57790,hover,jen11_04,0.892,0.04476
jenkins11,"jen11_02, jen11_03",80,57790,hover,jen11_05,0.933,0.04476
jenkins11,"jen11_02, jen11_04",80,57790,hover,jen11_01,0.942,0.04476
jenkins11,"jen11_02, jen11_04",80,57790,hover,jen11_02,,0.04476
jenkins11,"jen11_02, jen11_04",80,57790,hover,jen11_03,0.905,0.04476
jenkins11,"jen11_02, jen11_04",80,57790,hover,jen11_04,,0.04476
jenkins11,"jen11_02, jen11_04",80,57790,hover,jen11_05,0.922,0.04476
jenkins11,"jen11_02, jen11_05",80,57790,hover,jen11_01,0.946,0.04476
jenkins11,"jen11_02, jen11_05",80,57790,hover,jen11_02,,0.04476
jenkins11,"jen11_02, jen11_05",80,57790,hover,jen11_03,0.895,0.04476
jenkins11,"jen11_02, jen11_05",80,57790,hover,jen11_04,0.884,0.04476
jenkins11,"jen11_02, jen11_05",80,57790,hover,jen11_05,,0.04476
jenkins11,"jen11_03, jen11_04",80,57790,hover,jen11_01,0.944,0.04476
jenkins11,"jen11_03, jen11_04",80,57790,hover,jen11_02,0.977,0.04476
jenkins11,"jen11_03, jen11_04",80,57790,hover,jen11_03,,0.04476
jenkins11,"jen11_03, jen11_04",80,57790,hover,jen11_04,,0.04476
jenkins11,"jen11_03, jen11_04",80,57790,hover,jen11_05,0.935,0.04476
jenkins11,"jen11_01, jen11_02, jen11_03",80,57790,hover,jen11_01,,0.04476
jenkins11,"jen11_01, jen11_02, jen11_03",80,57790,hover,jen11_02,,0.04476
jenkins11,"jen11_01, jen11_02, jen11_03",80,57790,hover,jen11_03,,0.04476
jenkins11,"jen11_01, jen11_02, jen11_03",80,57790,hover,jen11_04,0.887,0.04476
jenkins11,"jen11_01, jen11_02, jen11_03",80,57790,hover,jen11_05,0.923,0.04476
jenkins11,"jen11_02, jen11_04, jen11_05",80,57790,hover,jen11_01,0.947,0.04476
jenkins11,"jen11_02, jen11_04, jen11_05",80,57790,hover,jen11_02,,0.04476
jenkins11,"jen11_02, jen11_04, jen11_05",80,57790,hover,jen11_03,0.897,0.04476
jenkins11,"jen11_02, jen11_04, jen11_05",80,57790,hover,jen11_04,,0.04476
jenkins11,"jen11_02, jen11_04, jen11_05",80,57790,hover,jen11_05,,0.04476
jenkins12,no_gcp,100,34122,hover,jen12_01,1.268,0.05468
jenkins12,no_gcp,100,34122,hover,jen12_02,1.3,0.05468
jenkins12,no_gcp,100,34122,hover,jen12_03,1.225,0.05468
jenkins12,no_gcp,100,34122,hover,jen12_04,1.214,0.05468
jenkins12,no_gcp,100,34122,hover,jen12_05,1.225,0.05468
jenkins12,"jen12_01, jen12_02, jen12_03, jen12_04, jen12_05",100,34122,hover,jen12_01,,0.05472
jenkins12,"jen12_01, jen12_02, jen12_03, jen12_04, jen12_05",100,34122,hover,jen12_02,,0.05472
jenkins12,"jen12_01, jen12_02, jen12_03, jen12_04, jen12_05",100,34122,hover,jen12_03,,0.05472
jenkins12,"jen12_01, jen12_02, jen12_03, jen12_04, jen12_05",100,34122,hover,jen12_04,,0.05472
jenkins12,"jen12_01, jen12_02, jen12_03, jen12_04, jen12_05",100,34122,hover,jen12_05,,0.05472
jenkins12,jen12_01,100,34122,hover,jen12_01,,0.05472
jenkins12,jen12_01,100,34122,hover,jen12_02,1.315,0.05472
jenkins12,jen12_01,100,34122,hover,jen12_03,1.216,0.05472
jenkins12,jen12_01,100,34122,hover,jen12_04,1.211,0.05472
jenkins12,jen12_01,100,34122,hover,jen12_05,1.248,0.05472
jenkins12,jen12_02,100,34122,hover,jen12_01,1.262,0.05472
jenkins12,jen12_02,100,34122,hover,jen12_02,,0.05472
jenkins12,jen12_02,100,34122,hover,jen12_03,1.223,0.05472
jenkins12,jen12_02,100,34122,hover,jen12_04,1.214,0.05472
jenkins12,jen12_02,100,34122,hover,jen12_05,1.25,0.05472
jenkins12,jen12_03,100,34122,hover,jen12_01,1.256,0.05472
jenkins12,jen12_03,100,34122,hover,jen12_02,1.312,0.05472
jenkins12,jen12_03,100,34122,hover,jen12_03,,0.05472
jenkins12,jen12_03,100,34122,hover,jen12_04,1.223,0.05472
jenkins12,jen12_03,100,34122,hover,jen12_05,1.252,0.05472
