points,easting,northing,z_score,type
point1,714128.394,8615774.108,10.426,gcp
point2,714006.799,8615727.209,8.663,gcp
point3,714093.383,8615704.995,9.885,gcp
point4,714107.176,8615591.875,10.023,gcp
point5,714191.901,8615636.837,10.833,gcp
point6,714147.134,8615680.794,10.467,gcp
cem01,714112.777,8615707.362,10.075,CHP
cem02,714110.347,8615712.55,10.099,CHP
cem03,714095.196,8615705.604,10.068,CHP
cem04,714097.566,8615700.422,10.067,CHP
cem05,714120.092,8615754.032,10.639,CHP
cem06,714121.35,8615754.773,10.634,CHP
cem07,714115.524,8615778.426,10.774,CHP
cem08,714133.786,8615787.522,10.442,CHP
cem09,714133.528,8615791.084,10.43,CHP
cem10,714106.783,8615784.684,10.604,CHP
cem11,714089.228,8615785.439,9.614,CHP
cem12,714102.187,8615799.466,9.925,CHP
cem13,714053.113,8615729.356,9.404,CHP
cem14,714041.727,8615708.16,9.376,CHP
