,site,class,blue,green,red,nir,rededge
937,938,6,0.049779534,0.092216499,0.1275509,0.180191532,0.153506875
31,32,5,0.01301965,0.036361799,0.025233438,0.180249795,0.089569427
4343,4344,8,0.188442022,0.279096544,0.336974055,0.39716363,0.34393283700000005
4242,4243,7,0.13227959,0.204224095,0.246979579,0.324944764,0.259567767
3554,3555,5,0.009489904,0.022077542,0.02144268,0.154567689,0.05664869
322,323,1,0.011769886,0.048061348,0.020373009,0.262738645,0.122499958
2080,2081,3,0.020150477,0.032306787000000003,0.043152072,0.265846848,0.12779748400000002
4154,4155,5,0.040229578,0.054573201,0.069641747,0.147047132,0.09928631
5507,5508,7,0.082539566,0.124852002,0.145029947,0.201988667,0.170524359
3894,3895,12,0.062360302,0.098858461,0.10913219999999997,0.149101838,0.134510234
2541,2542,1,0.00802062,0.022920936,0.017716058,0.180420145,0.061590537
2627,2628,1,0.015053529,0.040154725,0.027538046,0.220277488,0.102935649
3826,3827,7,0.155701116,0.20698289600000006,0.24599871,0.282193065,0.260724813
2514,2515,8,0.09758351,0.147498891,0.183040574,0.231913969,0.200175554
508,509,1,0.015556808,0.045623243,0.034140594,0.200081483,0.111811236
1734,1735,3,0.022447886,0.028618434,0.03891759,0.193573475,0.095298447
1196,1197,7,0.058712792,0.07984986200000001,0.103109837,0.176832154,0.121136628
78,79,1,0.017918661000000002,0.062675774,0.029095927,0.293470472,0.147045791
83,84,2,0.019191962,0.07045135599999999,0.028140366,0.3714033370000001,0.189876527
3848,3849,1,0.07151164900000001,0.113253482,0.118390977,0.280428708,0.203995854
2689,2690,1,0.015028607,0.042295065,0.026579713,0.25787714100000003,0.105509043
1669,1670,2,0.013960125,0.04869825,0.023030676,0.408198148,0.21875602
2692,2693,1,0.010012046,0.046460256,0.020614751,0.311207592,0.136342153
3245,3246,1,0.024062665,0.082749374,0.050506581,0.349556595,0.201253265
2900,2901,7,0.043280475,0.082849398,0.117784329,0.233433455,0.15226103400000002
1056,1057,1,0.009219811,0.035000637,0.017000606,0.283724964,0.104996152
5501,5502,7,0.061954658,0.097383,0.101337284,0.14471741,0.128084734
3940,3941,10,0.094401896,0.124117561,0.162097126,0.280472308,0.218095571
3077,3078,7,0.06103766,0.119761296,0.16101633,0.221091717,0.183426306
5309,5310,12,0.053738765,0.08078523,0.086074531,0.098597191,0.09741538
